trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.55, 'e': 0.9702000000000033}",20,0,-197.79982410075496,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
150,False,"{'a': 0.55, 'e': 0.9700000000000033}",25,0,-145.82705004981486,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
151,False,"{'a': 0.55, 'e': 0.9698000000000033}",30,3,-77.98757968787261,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 0}",1
152,False,"{'a': 0.55, 'e': 0.9696000000000033}",25,0,-58.493541475553656,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.55, 'e': 0.9694000000000034}",20,0,-116.50841574082312,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
154,False,"{'a': 0.55, 'e': 0.9692000000000034}",25,0,-193.45476907149512,"{0: 12, 1: 5, 2: 2, 3: 4, 4: 2}",0
155,False,"{'a': 0.55, 'e': 0.9690000000000034}",30,0,-150.26914299745815,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
156,False,"{'a': 0.55, 'e': 0.9688000000000034}",20,0,-68.3582678311962,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
157,False,"{'a': 0.55, 'e': 0.9686000000000035}",25,0,-194.9140666656595,"{0: 12, 1: 0, 2: 9, 3: 2, 4: 2}",0
158,False,"{'a': 0.55, 'e': 0.9684000000000035}",20,0,-24.729807678190625,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
159,False,"{'a': 0.55, 'e': 0.9682000000000035}",20,0,-44.71289483487379,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
160,False,"{'a': 0.55, 'e': 0.9680000000000035}",25,0,-162.00876591943623,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
161,False,"{'a': 0.55, 'e': 0.9678000000000035}",25,0,-84.73390212455602,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
162,False,"{'a': 0.55, 'e': 0.9676000000000036}",20,0,-137.19288592957673,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
163,False,"{'a': 0.55, 'e': 0.9674000000000036}",25,0,-242.25930854991591,"{0: 11, 1: 1, 2: 7, 3: 3, 4: 3}",0
164,False,"{'a': 0.55, 'e': 0.9672000000000036}",20,0,-42.39470332332527,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
165,False,"{'a': 0.55, 'e': 0.9670000000000036}",20,6,-68.7531760804604,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
166,False,"{'a': 0.55, 'e': 0.9668000000000037}",30,0,-112.39215724046491,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
167,False,"{'a': 0.55, 'e': 0.9666000000000037}",20,0,-53.83120415048711,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
168,False,"{'a': 0.55, 'e': 0.9664000000000037}",20,0,-61.382530983494256,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
169,False,"{'a': 0.55, 'e': 0.9662000000000037}",25,0,-135.00062783215185,"{0: 15, 1: 4, 2: 1, 3: 4, 4: 1}",0
170,False,"{'a': 0.55, 'e': 0.9660000000000037}",25,0,-86.49606575826597,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
171,False,"{'a': 0.55, 'e': 0.9658000000000038}",25,7,-61.17748741653423,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
172,False,"{'a': 0.55, 'e': 0.9656000000000038}",20,0,-88.92662009357046,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
173,False,"{'a': 0.55, 'e': 0.9654000000000038}",30,0,-82.39330823290264,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
174,False,"{'a': 0.55, 'e': 0.9652000000000038}",25,0,-102.1319619317497,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
175,False,"{'a': 0.55, 'e': 0.9650000000000039}",20,11,-10.115543743082103,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.55, 'e': 0.9648000000000039}",20,0,-81.32559632746728,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
177,False,"{'a': 0.55, 'e': 0.9646000000000039}",30,0,-43.77699082146215,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
178,False,"{'a': 0.55, 'e': 0.9644000000000039}",25,16,-8.53599104272953,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.55, 'e': 0.9642000000000039}",25,0,-101.03644263003552,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
180,False,"{'a': 0.55, 'e': 0.964000000000004}",20,0,-44.510739739136774,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
181,False,"{'a': 0.55, 'e': 0.963800000000004}",25,15,-47.072436302143615,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.55, 'e': 0.963600000000004}",30,0,-260.4115136491771,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
